Negative, Neutral, Positive, Compound
 0.0, 0.606, 0.394, 0.3818
 0.117, 0.516, 0.366, 0.6486
 0.0, 1.0, 0.0, 0.0
 0.0, 0.811, 0.189, 0.2716
 0.0, 0.488, 0.512, 0.6369
 0.088, 0.586, 0.326, 0.8166
 0.0, 1.0, 0.0, 0.0
 0.0, 0.715, 0.285, 0.4199
 0.0, 0.821, 0.179, 0.34
 0.0, 1.0, 0.0, 0.0
 0.0, 0.75, 0.25, 0.4576
 0.46, 0.54, 0.0, -0.3724
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.633, 0.367, 0.4404
 0.122, 0.739, 0.139, 0.101
 0.0, 1.0, 0.0, 0.0
 0.0, 0.328, 0.672, 0.6249
 0.0, 1.0, 0.0, 0.0
 0.0, 0.685, 0.315, 0.3182
 0.0, 1.0, 0.0, 0.0
 0.0, 0.263, 0.737, 0.4215
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.58, 0.42, 0.4404
 0.0, 0.408, 0.592, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.756, 0.244, 0.4404
 0.193, 0.807, 0.0, -0.4767
 0.0, 0.303, 0.697, 0.5574
 0.0, 0.714, 0.286, 0.4588
 0.0, 1.0, 0.0, 0.0
 0.0, 0.145, 0.855, 0.7089
 0.0, 1.0, 0.0, 0.0
 0.119, 0.77, 0.111, -0.046
 0.0, 0.653, 0.347, 0.4927
 0.445, 0.555, 0.0, -0.3412
 0.0, 1.0, 0.0, 0.0
 0.0, 0.508, 0.492, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.505, 0.495, 0.8689
 0.0, 1.0, 0.0, 0.0
 0.0, 0.887, 0.113, 0.2584
 0.0, 1.0, 0.0, 0.0
 0.376, 0.624, 0.0, -0.3412
 0.0, 1.0, 0.0, 0.0
 0.0, 0.599, 0.401, 0.6892
 0.0, 0.341, 0.659, 0.6996
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.286, 0.714, 0.3612
 0.0, 0.426, 0.574, 0.4019
 0.0, 0.72, 0.28, 0.7906
 0.0, 0.724, 0.276, 0.9423
 0.168, 0.584, 0.248, 0.2732
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.737, 0.263, 0.6549
 0.0, 0.654, 0.346, 0.891
 0.0, 0.761, 0.239, 0.5367
 0.0, 1.0, 0.0, 0.0
 0.113, 0.887, 0.0, -0.1027
 0.0, 0.375, 0.625, 0.6124
 0.0, 0.37, 0.63, 0.5267
 0.0, 0.569, 0.431, 0.6486
 0.0, 0.597, 0.403, 0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.881, 0.119, 0.4019
 0.0, 0.673, 0.327, 0.5267
 0.0, 0.884, 0.116, 0.4404
 0.073, 0.837, 0.09, 0.0716
 0.0, 1.0, 0.0, 0.0
 0.102, 0.764, 0.134, 0.128
 0.0, 1.0, 0.0, 0.0
 0.0, 0.37, 0.63, 0.5267
 0.0, 0.81, 0.19, 0.7269
 0.0, 0.818, 0.182, 0.4404
 0.0, 0.602, 0.398, 0.5106
 0.546, 0.454, 0.0, -0.3412
 0.0, 0.666, 0.334, 0.672
 0.0, 0.569, 0.431, 0.6486
 0.0, 0.563, 0.437, 0.4767
 0.0, 1.0, 0.0, 0.0
 0.445, 0.555, 0.0, -0.3412
 0.0, 0.408, 0.592, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.685, 0.315, 0.3182
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.644, 0.356, 0.5302
 0.0, 0.263, 0.737, 0.4215
 0.561, 0.439, 0.0, -0.3724
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.656, 0.344, 0.2732
 0.0, 1.0, 0.0, 0.0
 0.0, 0.435, 0.565, 0.3818
 0.0, 0.736, 0.264, 0.7264
 0.0, 0.756, 0.244, 0.4404
 0.0, 0.619, 0.381, 0.5719
 0.0, 0.448, 0.552, 0.5709
 0.0, 0.556, 0.444, 0.4927
 0.0, 1.0, 0.0, 0.0
 0.0, 0.586, 0.414, 0.817
 0.0, 0.723, 0.277, 0.3182
 0.0, 0.362, 0.638, 0.89
 0.0, 0.736, 0.264, 0.9409
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.769, 0.231, 0.2732
 0.0, 0.633, 0.367, 0.4404
 0.0, 0.796, 0.204, 0.3182
 0.0, 0.588, 0.412, 0.5994
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.734, 0.266, 0.4404
 0.0, 0.408, 0.592, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.508, 0.492, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.888, 0.112, 0.5256
 0.0, 0.286, 0.714, 0.3612
 0.221, 0.401, 0.379, 0.1471
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.595, 0.405, 0.5267
 0.0, 1.0, 0.0, 0.0
 0.05, 0.745, 0.206, 0.6597
 0.0, 1.0, 0.0, 0.0
 0.0, 0.707, 0.293, 0.4404
 0.0, 0.677, 0.323, 0.6369
 0.0, 0.781, 0.219, 0.7184
 0.0, 0.813, 0.187, 0.4576
 0.0, 0.256, 0.744, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.844, 0.156, 0.4173
 0.0, 1.0, 0.0, 0.0
 0.187, 0.813, 0.0, -0.3182
 0.028, 0.822, 0.15, 0.9069
 0.0, 0.49, 0.51, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.0, 0.653, 0.347, 0.4927
 0.0, 0.615, 0.385, 0.3612
 0.0, 1.0, 0.0, 0.0
 0.0, 0.798, 0.202, 0.5106
 0.0, 0.492, 0.508, 0.7351
 0.0, 0.791, 0.209, 0.4902
 0.0, 0.748, 0.252, 0.6597
 0.0, 0.68, 0.32, 0.5106
 0.0, 0.286, 0.714, 0.3612
 0.125, 0.741, 0.134, 0.0516
 0.0, 0.787, 0.213, 0.6597
 0.148, 0.762, 0.09, -0.2163
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.25, 0.75, 0.4588
 0.0, 0.408, 0.592, 0.7003
 0.0, 1.0, 0.0, 0.0
 0.0, 0.811, 0.189, 0.3252
 0.0, 0.408, 0.592, 0.7003
 0.0, 0.745, 0.255, 0.34
 0.0, 0.673, 0.327, 0.5267
 0.0, 0.673, 0.327, 0.5267
 0.0, 0.0, 1.0, 0.5267
 0.065, 0.726, 0.209, 0.7497
 0.0, 0.821, 0.179, 0.9217
 0.0, 0.746, 0.254, 0.6997
 0.0, 0.707, 0.293, 0.4404
 0.0, 0.617, 0.383, 0.4767
 0.0, 0.854, 0.146, 0.4404
 0.0, 0.868, 0.132, 0.552
 0.0, 0.637, 0.363, 0.948
 0.0, 0.67, 0.33, 0.9413
 0.0, 0.0, 1.0, 0.4939
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.069, 0.931, 0.0, -0.4939
 0.0, 0.408, 0.592, 0.4404
 0.423, 0.577, 0.0, -0.296
 0.0, 1.0, 0.0, 0.0
 0.0, 0.706, 0.294, 0.3597
 0.041, 0.802, 0.157, 0.851
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.059, 0.941, 0.0, -0.4939
 0.0, 0.408, 0.592, 0.4404
 0.145, 0.855, 0.0, -0.296
 0.0, 1.0, 0.0, 0.0
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.526, 0.474, 0.743
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.442, 0.558, 0.743
 0.0, 0.814, 0.186, 0.4927
 0.0, 0.388, 0.612, 0.743
 0.026, 0.863, 0.111, 0.7345
 0.0, 0.752, 0.248, 0.7645
 0.0, 0.0, 1.0, 0.4215
 0.07, 0.93, 0.0, -0.2023
 0.0, 1.0, 0.0, 0.0
 0.0, 0.602, 0.398, 0.5106
 0.159, 0.512, 0.329, 0.4576
 0.0, 0.531, 0.469, 0.7332
 0.0, 0.0, 1.0, 0.4404
 0.188, 0.586, 0.227, 0.25
 0.0, 0.161, 0.839, 0.8555
 0.0, 0.556, 0.444, 0.4926
 0.0, 0.615, 0.385, 0.3612
 0.0, 0.798, 0.202, 0.5106
 0.0, 0.685, 0.315, 0.3182
 0.127, 0.671, 0.201, 0.7047
 0.0, 1.0, 0.0, 0.0
 0.0, 0.588, 0.412, 0.2732
 0.238, 0.762, 0.0, -0.3612
 0.0, 1.0, 0.0, 0.0
 0.0, 0.4, 0.6, 0.4588
 0.0, 1.0, 0.0, 0.0
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.732, 0.268, 0.5106
 0.0, 0.746, 0.254, 0.7783
 0.012, 0.683, 0.305, 0.9923
 0.089, 0.691, 0.22, 0.4939
 0.0, 0.602, 0.398, 0.5106
 0.546, 0.454, 0.0, -0.3412
 0.0, 0.44, 0.56, 0.6249
 0.0, 0.619, 0.381, 0.5719
 0.0, 0.548, 0.452, 0.5106
 0.0, 0.286, 0.714, 0.3612
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.948, 0.052, 0.1901
 0.0, 1.0, 0.0, 0.0
 0.0, 0.589, 0.411, 0.3597
