Polarity,Subjectivity
0.0,0.0
-0.25,0.6785714285714286
0.0,0.0
0.20500000000000002,0.43666666666666665
1.0,0.3
1.0,0.6375000000000001
0.0,0.1
0.325,0.26
0.0,0.0
0.5,0.5
0.2785714285714286,0.8357142857142859
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.7,0.6000000000000001
0.7,0.6000000000000001
0.2,0.3
0.0,0.0
0.8,0.75
0.0,0.0
0.0,0.0
0.0,0.0
0.6,1.0
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.7,0.6000000000000001
0.0,0.0
0.5,0.5
0.43333333333333335,0.8333333333333334
-0.07142857142857144,0.6452380952380952
0.26666666666666666,0.41666666666666663
0.7,0.6000000000000001
0.0,0.0
0.69,1.0
0.5,0.5
0.25,0.5
0.9099999999999999,0.7800000000000001
0.7,0.6000000000000001
0.0,0.0
0.7,0.6000000000000001
0.0,0.0
0.85,0.8
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.75
0.5,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.10000000000000002,0.3833333333333333
0.75,0.4
0.4916666666666667,0.7166666666666666
0.06818181818181818,0.6272727272727273
0.0,0.0
0.0,0.0
0.0,0.0
0.2,0.3
0.0,0.0
0.1875,0.5
0.0,0.0
-0.2916666666666667,0.5416666666666666
0.7,0.6000000000000001
-0.05,0.8500000000000001
0.375,0.5
0.10000000000000002,0.3833333333333333
0.1,0.3
0.2,0.3
0.0,0.0
0.0,0.5
0.6,0.9
0.27666666666666667,0.24333333333333337
-0.05,0.75
-0.16666666666666666,0.06666666666666667
0.21428571428571427,0.5714285714285714
0.0,0.0
-0.05,0.8500000000000001
0.3,0.7
0.415,0.36500000000000005
0.4333333333333333,0.7333333333333333
0.0,0.0
0.37166666666666665,0.4233333333333334
0.375,0.5
0.0,0.0
0.2,0.1
0.0,0.0
0.7,0.6000000000000001
0.0,0.5
0.0,0.0
0.2,0.2
0.0,0.0
-0.16666666666666666,0.06666666666666667
0.6,1.0
0.0,0.0
0.7,0.6000000000000001
0.0,0.0
0.0,0.0
0.0,0.0
0.5633333333333334,0.9533333333333333
0.0,0.0
1.0,1.0
0.78,1.0
0.2,0.3
0.0,0.0
0.35,0.5
0.0,0.0
0.6916666666666668,0.7333333333333334
0.36000000000000004,0.5025000000000001
-0.26,0.52
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.255,0.595
0.0,0.0
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.7,0.6000000000000001
0.0,0.0
0.7,0.6000000000000001
0.7,0.6000000000000001
0.0,0.0
0.49,0.65
0.0,0.0
0.0,0.0
1.0,0.3
0.6,0.9
0.5,0.5
0.27708333333333335,0.46041666666666664
